principal component 1,principal component 2,Breathing Type
-1.3145267348559833,0.0778750943248387,40bpm
-1.2959375924489893,0.08633522609542403,40bpm
-1.2676816153303847,0.0981360294262361,40bpm
-1.2373312178451812,0.11162662326366063,40bpm
-1.2371587328769278,0.11155393744690675,40bpm
-1.2523981841496086,0.10454466646634335,40bpm
-1.2841695672275784,0.09032129576512592,40bpm
-1.2946891914362608,0.08564230216187259,40bpm
-1.2898113874820407,0.08782928399431848,40bpm
-1.277511921593878,0.09322944157888598,40bpm
-1.2622785796848466,0.10062792359557418,40bpm
-1.2542061855742261,0.10429715770332106,40bpm
-1.2425993398081956,0.10962415235688557,40bpm
-1.2455007926210586,0.10851789075443558,40bpm
-0.5792095612745967,0.018029292051216356,40bpm
-0.5669327460273527,0.028108465728563126,40bpm
-0.47464410052370415,0.021532810852651144,40bpm
-0.5235768174695427,0.013436513440831738,40bpm
-0.5066451106882123,0.0003724653865428281,40bpm
-0.5490497199123204,-0.006679389194512594,40bpm
-0.5076034386619844,-0.0058253409110411965,40bpm
-0.5418861851592933,-0.012102241469644151,40bpm
-0.44501029676938153,-0.039398787760644864,40bpm
-0.459928442369652,-0.050662940643079,40bpm
-0.3313051143073641,-0.08084951103307103,40bpm
-0.28173746293488344,-0.07117319425812606,40bpm
-0.3529790995678424,-0.0929793342049777,40bpm
-0.27063554425289144,-0.08586804871649156,40bpm
-0.34556508877601333,-0.10602760657629683,40bpm
-0.24955301613796105,-0.07323662098040135,40bpm
-0.1775052541085344,-0.08449217760394205,40bpm
-0.1454883655255903,-0.07083737015665817,40bpm
-0.10925195244097481,-0.08871829398057966,40bpm
-0.09074149950917197,-0.08169566064981104,40bpm
-0.0008330920990276829,-0.08242468528605315,40bpm
-0.02737545502088896,-0.08263425979707732,5bpm
0.07340374976935526,-0.12171598793820042,5bpm
0.10061366653322797,-0.1154835231483971,5bpm
0.024004840691084006,-0.10019003121771959,5bpm
0.07683782139866126,-0.08029904174739781,5bpm
0.027616317407386102,-0.06749311284602288,5bpm
0.03071437140335372,-0.05194365079550794,5bpm
0.20299178641801296,-0.0721738311129436,5bpm
0.14452907104877225,-0.06812073749197597,5bpm
0.29649425532908597,-0.08577381694383598,5bpm
0.2249496034179905,-0.1076267212255951,5bpm
0.2154600251719253,-0.12014213764204174,5bpm
0.230535653891734,-0.1194883247293646,5bpm
0.20492244850411806,-0.11280620287070812,5bpm
0.257181632648666,-0.1131159995437561,5bpm
0.3270115330806437,-0.14548386739861927,5bpm
0.3232766929866078,-0.14706938269204378,5bpm
0.29272529591410695,-0.12956171637769423,5bpm
0.2711025862399441,-0.13280461777051128,5bpm
0.30036190975737376,-0.12971830919479238,5bpm
0.2968049818470334,-0.1344798167551925,5bpm
0.28382329045083377,-0.1486574222724447,5bpm
0.294024830593169,-0.1646669738389149,5bpm
0.14901061054516768,-0.1397820071969742,5bpm
0.1660940964391969,-0.13601231197860347,5bpm
0.02867953676605461,-0.12615599182370574,5bpm
1.0385991891585897,0.2768808641538537,5bpm
0.9742528876089231,0.3035975547995117,5bpm
0.9914529487360845,0.2959928083038729,5bpm
0.9383875341798832,0.3145798439521374,5bpm
0.9289313847767247,0.32011300323726155,5bpm
0.9445814800074512,0.3133198850536208,5bpm
0.8688619817461362,0.34170068565312833,5bpm
0.8942043556660675,0.3325627833418383,5bpm
0.8131549253550756,0.3514886546320311,5bpm
0.7990209356792516,0.35869987988733554,5bpm
0.7809797339888841,0.3556259136404383,5bpm
0.7406064340753366,0.3710908814329209,5bpm
0.7598723735868234,0.3673955436244521,5bpm
-1.4819521318837836,0.0025055214060874633,5bpm
-1.5603342390171566,-0.03228206837302893,5bpm
-1.5677282329210427,-0.03555345991544651,5bpm
-1.5936679024067573,-0.04714841892392704,5bpm
-1.639162569615579,-0.0675541054602341,5bpm
-1.6445567562835102,-0.06991796354841151,5bpm
-1.6340203346856512,-0.065317746882407,5bpm
-1.648209961489815,-0.07182760327542373,5bpm
-1.64858870772333,-0.07192938831684911,5bpm
-1.6563178409424528,-0.07537377619237816,5bpm
-1.6574016822747184,-0.07590221163903764,5bpm
-1.6328330965425881,-0.06494574438325953,5bpm
-1.6317080060710865,-0.06447185710695329,5bpm
-1.6091287124633562,-0.05441721715254352,5bpm
-1.6007278748845926,-0.05069192881772449,5bpm
-1.6011792090930028,-0.050852654292588916,5bpm
-1.571972351901833,-0.037833604950758416,5bpm
-1.5818441161642942,-0.04226897783019915,5bpm
0.41455154822962786,0.3362247166399323,5bpm
0.45628361340704104,0.34309966647798856,5bpm
0.33590654499838757,0.3424733552350625,5bpm
0.38452722988454646,0.33833333728724563,5bpm
0.3437078230885171,0.3524169372037091,5bpm
0.29377087680186603,0.3360298482239593,5bpm
0.3205320589798062,0.32319002750199416,5bpm
0.33042843792536475,0.3132495804912484,5bpm
0.2971242560387075,0.3153368316662852,5bpm
0.336049784645089,0.30659314253434033,5bpm
0.3115317911898976,0.3134094605937411,5bpm
0.2455803912724189,0.33495392742697483,5bpm
0.3044931922884503,0.3421357858803659,5bpm
0.17217525776307696,0.34568626796787416,5bpm
